land_size_acres,experience_years,loan_amount,loan_amount_per_acre,loan_to_experience_ratio,crop_type,crop_season_risk,irrigation,soil_quality,yield_variance,rainfall_deviation,market_volatility,repayment_history,loan_purpose,default_risk
4.14,24,271349,65543.24,10853.96,cotton,low,partial,good,0.6,9,low,mixed,consumption,0
2.55,15,60639,23780.0,3789.94,wheat,low,rainfed,good,0.82,15,low,mixed,productive,0
4.72,30,439603,93136.23,14180.74,pulses,low,rainfed,average,0.57,16,high,poor,consumption,1
5.9,24,350535,59412.71,14021.4,rice,low,partial,good,0.43,16,high,mixed,productive,0
4.37,6,79092,18098.86,11298.86,wheat,low,rainfed,good,0.94,4,low,poor,productive,0
2.06,3,272377,132221.84,68094.25,wheat,high,assured,poor,0.55,40,high,good,semi,1
5.02,22,221293,44082.27,9621.43,cotton,high,rainfed,poor,0.22,19,low,none,semi,1
4.55,22,226443,49767.69,9845.35,maize,low,assured,average,0.2,2,high,poor,consumption,1
3.39,2,167162,49310.32,55720.67,cotton,high,assured,good,0.64,22,high,poor,productive,0
3.0,7,55327,18442.33,6915.88,maize,low,assured,average,0.85,8,low,poor,consumption,1
3.63,17,387219,106671.9,21512.17,millets,low,rainfed,good,0.95,31,medium,mixed,semi,0
2.67,18,282987,105987.64,14894.05,wheat,high,assured,average,0.17,27,low,mixed,consumption,0
1.0,8,204657,204657.0,22739.67,rice,low,rainfed,poor,0.4,27,low,good,semi,1
1.08,0,97937,90682.41,97937.0,millets,low,assured,good,0.49,29,medium,poor,consumption,1
4.95,0,417717,84387.27,417717.0,millets,low,rainfed,average,0.33,20,high,poor,semi,1
2.31,9,53320,23082.25,5332.0,rice,low,assured,poor,0.97,28,low,poor,semi,1
1.54,15,415280,269662.34,25955.0,millets,high,rainfed,poor,0.84,25,medium,mixed,consumption,1
3.5,29,79663,22760.86,2655.43,wheat,high,rainfed,average,0.47,33,low,mixed,semi,0
5.5,24,387978,70541.45,15519.12,cotton,high,rainfed,poor,0.89,38,high,none,consumption,1
5.83,0,460828,79044.25,460828.0,pulses,low,partial,good,0.36,34,low,none,productive,1
4.59,20,299066,65155.99,14241.24,pulses,low,assured,average,0.28,18,high,mixed,consumption,0
